CODE;COMPANY;SECTORS;SUBSECTORS;SEGMENTS
MMXM;MMX MINER;Basic Materials;Mining;Metalic Minerals
MNDL;MUNDIAL;Consumer Cyclical;Textiles, Apparel and Footwear;Accessories
MNPR;MINUPAR;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
MNZC;MENEZES CORT;Financial;Real Estate;Real Estate
MOAR;MONT ARANHA;Financial;Holdings - Diversified;Holdings - Diversified
MOSC;MOSAIC CO;Basic Materials;Chemicals;Fertilizers
MOVI;MOVIDA;Consumer Cyclical;Diversified;Car Rental
MPLU;MULTIPLUS;Consumer Cyclical;Diversified;Loyalty Programs
MRCK;MERCK;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
MRFG;MARFRIG;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
MRSA;MRS LOGIST;Capital Goods and Services;Transportation;Railroads
MRVE;MRV;Consumer Cyclical;Heavy Construction;Homebuilding 
MSBR;MORGAN STAN;Financial;Diversified Financial Services;Diversified Financial Services
MSCD;MASTERCARD;Financial;Diversified Financial Services;Diversified Financial Services
MSFT;MICROSOFT;Information Technology;Software and Services;Software and Services
MSPA;MELHOR SP;Consumer Cyclical;Media;Books, Magazines and Newspapers
MTIG;METAL IGUACU;Basic Materials;Packaging;Packaging
MTSA;METISA;Capital Goods and Services;Machines and Equipments;Agricultural and Construction Machinery
MULT;MULTIPLAN;Financial;Real Estate;Real Estate
MWET;WETZEL S/A;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
MXRF;FII MAXI REN;Financial;Financial Management and Mutual Funds;Real Estate Funds
MYPK;IOCHP-MAXION;Consumer Cyclical;Automobiles and Motorcycles;Automobiles and Motorcycles
NAFG;NADIR FIGUEI;Consumer Cyclical;Household Products;Houseware Utensils
NATU;NATURA;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
NCHB;FII NCH BRA;Financial;Financial Management and Mutual Funds;Real Estate Funds
NEMO;SUZANO HOLD;Basic Materials;Wood and Paper;Pulp and Paper
NEOE;NEOENERGIA;Utilities;Electric Utilities;Electric Utilities
NEWT;NEWTEL PART;Financial;Others;Others
NFLX;NETFLIX;Consumer Cyclical;Media;Production and Broadcast of Movies and Programs
NIKE;NIKE;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
NOOS;PATRIA SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
NORD;NORDON MET;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
NPPF;FDC NP DB I;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
NRTQ;NORTCQUIMICA;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
NSLU;FII LOURDES;Financial;Financial Management and Mutual Funds;Real Estate Funds
NUTR;NUTRIPLANT;Basic Materials;Chemicals;Fertilizers
NVHO;FII NOVOHORI;Financial;Financial Management and Mutual Funds;Real Estate Funds
NVRP;FIP NVRAPOSO;Financial;Financial Management and Mutual Funds;Mutual Funds
OCTS;OCTANTE SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
ODER;ODERICH;Consumer Non Cyclical;Food Processors;Other Food Manufacturing
ODPV;ODONTOPREV;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
OFSA;OUROFINO S/A;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
OGXP;OGX PETROLEO;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
OIBR;OI;Telecommunications;Telecommunications;Telecommunications
OMGE;OMEGA GER;Utilities;Electric Utilities;Electric Utilities
ONEF;FII THE ONE;Financial;Financial Management and Mutual Funds;Real Estate Funds
OPEQ;FIP INSTITUT;Financial;Financial Management and Mutual Funds;Mutual Funds
OPGM;GAMA PART;Financial;Others;Others
OPHE;OPPORT ENERG;Financial;Others;Others
OPHF;FIP OPP HOLD;Financial;Financial Management and Mutual Funds;Mutual Funds
OPIM;FDC BURITI;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
OPRE;RET PART;Financial;Others;Others
OPSE;SUDESTE S/A;Financial;Others;Others
OPTS;SUL 116 PART;Financial;Others;Others
ORCL;ORACLE;Information Technology;Software and Services;Software and Services
OSXB;OSX BRASIL;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Equipment and Services
OUJP;FII OURI JPP;Financial;Financial Management and Mutual Funds;Real Estate Funds
PABY;FII PANAMBY;Financial;Financial Management and Mutual Funds;Real Estate Funds
PACF;PACIFIC RDSL;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
PALF;PAUL F LUZ;Utilities;Electric Utilities;Electric Utilities
PARD;IHPARDINI;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
PATI;PANATLANTICA;Basic Materials;Steel and Metalurgy;Iron and Steel Products
PCAR;P.ACUCAR-CBD;Consumer Non Cyclical;Retail and Distribution;Food Retailers
