CODE;COMPANY;SECTORS;SUBSECTORS;SEGMENTS
AALL;AMERICAN AIR;Capital Goods and Services;Transportation;Airlines
AALR;ALLIAR;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
AAPL;APPLE;Information Technology;Hardware and Equipments;Hardware and Equipments
ABBV;ABBVIE;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
ABCB;ABC BRASIL;Financial;Financial Intermediaries;Banks
ABCP;FII ABC IMOB;Financial;Financial Management and Mutual Funds;Real Estate Funds
ABEV;AMBEV S/A;Consumer Non Cyclical;Beverage;Beer and Soft Drinks
ABTT;ABBOTT;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
ACNB;ACCENTURE;Information Technology;Software and Services;Software and Services
ADHM;ADVANCED-DH;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
AEFI;FII AESAPAR;Financial;Financial Management and Mutual Funds;Real Estate Funds
AELP;AES ELPA;Utilities;Electric Utilities;Electric Utilities
AESL;AES SUL;Utilities;Electric Utilities;Electric Utilities
AETB;AETNA INC;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
AFLT;AFLUENTE T;Utilities;Electric Utilities;Electric Utilities
AFLU;AFLUENTE;Utilities;Electric Utilities;Electric Utilities
AGCX;FII AG CAIXA;Financial;Financial Management and Mutual Funds;Real Estate Funds
AGRO;BRASILAGRO;Consumer Non Cyclical;Farming;Agriculture
AGRU;GRUAIRPORT;Capital Goods and Services;Transportation;Warehousing and Storage
AHEB;SPTURIS;Consumer Cyclical;Travel, Entertainment and Leisure;Entertainment
AIGB;AIG GROUP;Financial;Insurance, Life and Multi-line;Insurance
ALEF;ALEF S/A;Financial;Others;Others
ALMI;FII TORRE AL;Financial;Financial Management and Mutual Funds;Real Estate Funds
ALPA;ALPARGATAS;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
ALSC;ALIANSCE;Financial;Real Estate;Real Estate
ALTR;ALTERE SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
ALTS;ALTUS S/A;Capital Goods and Services;Diversified Services;Diversified Services
ALUP;ALUPAR;Utilities;Electric Utilities;Electric Utilities
AMAR;LOJAS MARISA;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
AMGN;AMGEN;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
AMZO;AMAZON;Consumer Cyclical;Retail;Diversified Retailers
ANCR;FII ANCAR IC;Financial;Financial Management and Mutual Funds;Real Estate Funds
ANDG;AGCONCESSOES;Utilities;Electric Utilities;Electric Utilities
ANDV;ANDEAVOR;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
ANHB;AUTOBAN;Capital Goods and Services;Transportation;Toll Roads and Highways
ANIM;ANIMA;Consumer Cyclical;Diversified;Educational Services
APTI;ALIPERTI;Financial;Holdings - Diversified;Holdings - Diversified
AQLL;FII AQUILLA;Financial;Financial Management and Mutual Funds;Real Estate Funds
ARFI;FII AQUIL RD;Financial;Financial Management and Mutual Funds;Real Estate Funds
ARMT;ARCELOR;Basic Materials;Steel and Metalurgy;Steel
ARZZ;AREZZO CO;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
ASCP;ECOPISTAS;Capital Goods and Services;Transportation;Toll Roads and Highways
ATCR;FII ATICO;Financial;Financial Management and Mutual Funds;Real Estate Funds
ATOM;ATOMPAR;Financial;Others;Others
ATSA;FII CSHGATSA;Financial;Financial Management and Mutual Funds;Real Estate Funds
ATTB;ATT INC;Telecommunications;Telecommunications;Telecommunications
AVON;AVON;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
AXPB;AMERICAN EXP;Financial;Diversified Financial Services;Diversified Financial Services
AZEV;AZEVEDO;Capital Goods and Services;Construction and Engineering;Heavy Construction
AZUL;AZUL;Capital Goods and Services;Transportation;Airlines
BAHI;BAHEMA;Financial;Holdings - Diversified;Holdings - Diversified
BALM;BAUMER;Health;Equipments;Equipments
BAUH;EXCELSIOR;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BAZA;AMAZONIA;Financial;Financial Intermediaries;Banks
BBAS;BRASIL;Financial;Financial Intermediaries;Banks
BBDC;BRADESCO;Financial;Financial Intermediaries;Banks
BBFI;FII BB PROGR;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBIM;FII BB RECIM;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBPO;FII BB PRGII;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBRC;FII BB CORP;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBRK;BR BROKERS;Financial;Real Estate;Property Agency
BBSD;BB ETF SP DV;Financial;Financial Management and Mutual Funds;Mutual Funds
BBSE;BBSEGURIDADE;Financial;Insurance, Life and Multi-line;Insurance
BBVH;FDC INFRA;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
BBVJ;FII C JARDIM;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBYY;BEST BUY;Consumer Cyclical;Retail;Electronics and Household Appliance
BCFF;FII BC FFII;Financial;Financial Management and Mutual Funds;Real Estate Funds
BCIA;FII BCIA;Financial;Financial Management and Mutual Funds;Real Estate Funds
BCRI ;FII BEES CRI ;Financial;Financial Management and Mutual Funds;Real Estate Funds
BDLL;BARDELLA;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
BDLS;BRADESCO LSG;Financial;Financial Intermediaries;Leasing
BEEF;MINERVA;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BEES;BANESTES;Financial;Financial Intermediaries;Banks
BERK;BERKSHIRE;Financial;Holdings - Diversified;Holdings - Diversified
BETP;BETAPART;Financial;Others;Others
BFRE;BRAZILIAN FR;Financial;Diversified Financial Services;Asset Management and Investments
BGIP;BANESE;Financial;Financial Intermediaries;Banks
BIIB;BIOGEN;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BIOM;BIOMM;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BLAK;BLACKROCK;Financial;Diversified Financial Services;Asset Management and Investments
BMEB;MERC BRASIL;Financial;Financial Intermediaries;Banks
BMII;FII BRASILIO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BMIN;MERC INVEST;Financial;Financial Intermediaries;Banks
BMKS;BIC MONARK;Consumer Cyclical;Travel, Entertainment and Leisure;Bicycles
BMLC;FII BMBRC LC;Financial;Financial Management and Mutual Funds;Real Estate Funds
BMYB;BRISTOLMYERS;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BNBR;NORD BRASIL;Financial;Financial Intermediaries;Banks
BNDP;BNDESPAR;Financial;Diversified Financial Services;Asset Management and Investments
BNFS;FII BANRISUL;Financial;Financial Management and Mutual Funds;Real Estate Funds
BNPA;BONAIRE PART;Utilities;Electric Utilities;Electric Utilities
BOAC;BANK AMERICA;Financial;Financial Intermediaries;Banks
BOBR;BOMBRIL;Consumer Non Cyclical;Personal Care and Cleaning Products;Cleaning Products
BOEI;BOEING;Capital Goods and Services;Transportation Equipment and Components;Aerospace and Defense
BONY;BNY MELLON;Financial;Diversified Financial Services;Asset Management and Investments
BOVA;ISHARES BOVA;Financial;Financial Management and Mutual Funds;Mutual Funds
BOVV;IT NOW IBOV;Financial;Financial Management and Mutual Funds;Mutual Funds
BOXP;BOSTON PROP;Financial;Real Estate;Real Estate
BPAC;BTGP BANCO;Financial;Financial Intermediaries;Banks
BPAN;BANCO PAN;Financial;Financial Intermediaries;Banks
BPAR;BANPARA;Financial;Financial Intermediaries;Banks
BPAT;PATAGONIA;Financial;Financial Intermediaries;Banks
BPFF;FII ABSOLUTO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BPHA;BR PHARMA;Health;Retail and Distribution;Pharmaceutical and Others Products
BRAP;BRADESPAR;Basic Materials;Mining;Metalic Minerals
BRAX;ISHARES BRAX;Financial;Financial Management and Mutual Funds;Mutual Funds
BRCR;FII BC FUND;Financial;Financial Management and Mutual Funds;Real Estate Funds
BRCS;BRC SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
BRFS;BRF SA;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BRGE;ALFA CONSORC;Financial;Financial Intermediaries;Banks
BRHT;FII BRHOTEIS;Financial;Financial Management and Mutual Funds;Real Estate Funds
BRIN;BR INSURANCE;Financial;Insurance, Life and Multi-line;Insurance Brokers
BRIV;ALFA INVEST;Financial;Financial Intermediaries;Banks
BRKM;BRASKEM;Basic Materials;Chemicals;Petrochemicals
BRML;BR MALLS PAR;Financial;Real Estate;Real Estate
BRPR;BR PROPERT;Financial;Real Estate;Real Estate
BRQB;BRQ;Information Technology;Software and Services;Software and Services
BRSR;BANRISUL;Financial;Financial Intermediaries;Banks
BSAN;BANSANTANDER;Financial;Financial Intermediaries;Banks
BSCS;BRAZILIAN SC;Financial;Asset-backed Securitization;Asset-backed Securitization
BSEV;BIOSEV;Consumer Non Cyclical;Food Processors;Sugar and Alcohol
BSLI;BRB BANCO;Financial;Financial Intermediaries;Banks
BTGM;FII BTGMALLS;Financial;Financial Management and Mutual Funds;Real Estate Funds
BTOW;B2W DIGITAL;Consumer Cyclical;Retail;Diversified Retailers
BTSC;BETA SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
BTTL;BATTISTELLA;Financial;Holdings - Diversified;Holdings - Diversified
BVAR;FII B VAREJO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BVLS;BV LEASING;Financial;Financial Intermediaries;Leasing
BVMF;BMFBOVESPA;Financial;Diversified Financial Services;Diversified Financial Services
BZRS;BRAZIL REALT;Financial;Asset-backed Securitization;Asset-backed Securitization
CABB;CABAMBIENTAL;Utilities;Water Utilities;Water Utilities
CABI;CABINDA PART;Financial;Others;Others
CACO;CACONDE PART;Financial;Others;Others
CAIA;CAIANDA PART;Financial;Others;Others
CALI;CONST A LIND;Consumer Cyclical;Heavy Construction;Homebuilding 
CAMB;CAMBUCI;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
CAML;CAMIL;Consumer Non Cyclical;Food Processors;Other Food Manufacturing
CANT;AGPART;Financial;Holdings - Diversified;Holdings - Diversified
CARD;CSU CARDSYST;Capital Goods and Services;Diversified Services;Diversified Services
CARE;FII DEA CARE;Financial;Financial Management and Mutual Funds;Real Estate Funds
CASN;CASAN;Utilities;Water Utilities;Water Utilities
CATA;IND CATAGUAS;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
CATP;CATERPILLAR;Capital Goods and Services;Machines and Equipments;Agricultural and Construction Machinery
CBEE;AMPLA ENERG;Utilities;Electric Utilities;Electric Utilities
CBOP;FII C BRANCO;Financial;Financial Management and Mutual Funds;Real Estate Funds
CCPR;CYRE COM-CCP;Financial;Real Estate;Real Estate
CCRO;CCR SA;Capital Goods and Services;Transportation;Toll Roads and Highways
CCXC;CCX CARVAO;Basic Materials;Mining;Non Metalics
CEBR;CEB;Utilities;Electric Utilities;Electric Utilities
CEDO;CEDRO;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
CEEB;COELBA;Utilities;Electric Utilities;Electric Utilities
CEED;CEEE-D;Utilities;Electric Utilities;Electric Utilities
CEGR;CEG;Utilities;Gas Utilities;Gas Utilities
CELP;CELPA;Utilities;Electric Utilities;Electric Utilities
CEOC;FII CEO CCP;Financial;Financial Management and Mutual Funds;Real Estate Funds
CEPE;CELPE;Utilities;Electric Utilities;Electric Utilities
CESP;CESP;Utilities;Electric Utilities;Electric Utilities
CGAS;COMGAS;Utilities;Gas Utilities;Gas Utilities
CGRA;GRAZZIOTIN;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
CHKE;CHESAPEAKE;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
CHVX;CHEVRON;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
CIEL;CIELO;Financial;Diversified Financial Services;Diversified Financial Services
CLGN;CELGENE CORP;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
CLSC;CELESC;Utilities;Electric Utilities;Electric Utilities
CMCS;COMCAST;Consumer Cyclical;Media;Production and Broadcast of Movies and Programs
CMGD;CEMIG DIST;Utilities;Electric Utilities;Electric Utilities
CMGT;CEMIG GT;Utilities;Electric Utilities;Electric Utilities
CMIG;CEMIG;Utilities;Electric Utilities;Electric Utilities
CMSA;CIMS;Financial;Others;Others
CNES;FII CENESP;Financial;Financial Management and Mutual Funds;Real Estate Funds
CNSY;CINESYSTEM;Consumer Cyclical;Media;Production and Broadcast of Movies and Programs
COCA;COCA COLA;Consumer Non Cyclical;Beverage;Beer and Soft Drinks
COCE;COELCE;Utilities;Electric Utilities;Electric Utilities
COLG;COLGATE;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
COLN;ROD COLINAS;Capital Goods and Services;Transportation;Toll Roads and Highways
COPH;COPHILLIPS;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
CORR;COR RIBEIRO;Financial;Real Estate;Real Estate
COTY;COTY INC;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
COWC;COSTCO;Consumer Cyclical;Retail;Diversified Retailers
CPFE;CPFL ENERGIA;Utilities;Electric Utilities;Electric Utilities
CPFG;CPFL GERACAO;Utilities;Electric Utilities;Electric Utilities
CPFP;CPFL PIRATIN;Utilities;Electric Utilities;Electric Utilities
CPLE;COPEL;Utilities;Electric Utilities;Electric Utilities
CPRE;CPFL RENOVAV;Utilities;Electric Utilities;Electric Utilities
CPTE;CACHOEIRA;Utilities;Electric Utilities;Electric Utilities
CPTP;CAPITALPART;Financial;Others;Others
CPTS;FII CAPI SEC;Financial;Financial Management and Mutual Funds;Real Estate Funds
CRBD;RT BANDEIRAS;Capital Goods and Services;Transportation;Toll Roads and Highways
CRDE;CR2;Consumer Cyclical;Heavy Construction;Homebuilding 
CREM;CREMER;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
CRFB;CARREFOUR BR;Consumer Non Cyclical;Retail and Distribution;Food Retailers
CRIV;ALFA FINANC;Financial;Financial Intermediaries;Savings and Loans
CRPG;CRISTAL;Basic Materials;Chemicals;Chemicals - Others
CRTE;CONC RIO TER;Capital Goods and Services;Transportation;Toll Roads and Highways
CSAB;SEG AL BAHIA;Financial;Insurance, Life and Multi-line;Insurance
CSAN;COSAN;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
CSCO;CISCO;Information Technology;Hardware and Equipments;Hardware and Equipments
CSMG;COPASA;Utilities;Water Utilities;Water Utilities
CSNA;SID NACIONAL;Basic Materials;Steel and Metalurgy;Steel
CSRN;COSERN;Utilities;Electric Utilities;Electric Utilities
CTAX;CONTAX;Capital Goods and Services;Diversified Services;Diversified Services
CTBA;CEPAC - CTBA;Financial;Others Bonds;Others Bonds
CTBC;CTBC TELECOM;Telecommunications;Telecommunications;Telecommunications
CTGP;CITIGROUP;Financial;Financial Intermediaries;Banks
CTKA;KARSTEN;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
CTNM;COTEMINAS;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
CTSA;SANTANENSE;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
CTSH;COGNIZANT;Information Technology;Software and Services;Software and Services
CTXT;FII C TEXTIL;Financial;Financial Management and Mutual Funds;Real Estate Funds
CVCB;CVC BRASIL;Consumer Cyclical;Travel, Entertainment and Leisure;Travel and Tourism
CVSH;CVS HEALTH;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
CXCE;FII CX CEDAE;Financial;Financial Management and Mutual Funds;Real Estate Funds
CXRI;FII CX RBRAV;Financial;Financial Management and Mutual Funds;Real Estate Funds
CXTL;FII CX TRX;Financial;Financial Management and Mutual Funds;Real Estate Funds
CYRE;CYRELA REALT;Consumer Cyclical;Heavy Construction;Homebuilding 
CZLT;COSAN LTD;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
DAGB;DUFRY AG;Consumer Cyclical;Retail;Diversified Retailers
DASA;DASA;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
DBEN;DIBENS LSG;Financial;Financial Intermediaries;Leasing
DEAI;DELTA;Capital Goods and Services;Transportation;Airlines
DHER;DANAHER CORP;Financial;Holdings - Diversified;Holdings - Diversified
DIRR;DIRECIONAL;Consumer Cyclical;Heavy Construction;Homebuilding 
DISB;WALT DISNEY;Consumer Cyclical;Media;Production and Broadcast of Movies and Programs
DIVO;IT NOW IDIV;Financial;Financial Management and Mutual Funds;Mutual Funds
DMMO;DOMMO;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
DOHL;DOHLER;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
DOMC;FII DOMO;Financial;Financial Management and Mutual Funds;Real Estate Funds
DOVL;FII DOVEL;Financial;Financial Management and Mutual Funds;Real Estate Funds
DOWB;DOW CHEMICAL;Basic Materials;Chemicals;Petrochemicals
DRIT;FII MTGESTAO;Financial;Financial Management and Mutual Funds;Real Estate Funds
DTCY;DTCOM-DIRECT;Capital Goods and Services;Diversified Services;Diversified Services
DTEX;DURATEX;Basic Materials;Wood and Paper;Wood
DUKB;DUKE ENERGY;Utilities;Electric Utilities;Electric Utilities
DUPO;E I DU PONT;Basic Materials;Chemicals;Chemicals - Others
EALT;ACO ALTONA;Capital Goods and Services;Machines and Equipments;Agricultural and Construction Machinery
EBAY;EBAY;Information Technology;Software and Services;Software and Services
EBEN;EBE;Utilities;Electric Utilities;Electric Utilities
ECNT;ECONORTE;Capital Goods and Services;Transportation;Toll Roads and Highways
ECOO;ISHARES ECOO;Financial;Financial Management and Mutual Funds;Mutual Funds
ECOR;ECORODOVIAS;Capital Goods and Services;Transportation;Toll Roads and Highways
ECOV;ECOVIAS;Capital Goods and Services;Transportation;Toll Roads and Highways
ECPR;ENCORPAR;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
EDFO;FII OURINVES;Financial;Financial Management and Mutual Funds;Real Estate Funds
EDGA;FII GALERIA;Financial;Financial Management and Mutual Funds;Real Estate Funds
EEEL;CEEE-GT;Utilities;Electric Utilities;Electric Utilities
EGIE;ENGIE BRASIL;Utilities;Electric Utilities;Electric Utilities
EKTR;ELEKTRO;Utilities;Electric Utilities;Electric Utilities
ELDO;FII ELDORADO;Financial;Financial Management and Mutual Funds;Real Estate Funds
ELEK;ELEKEIROZ;Basic Materials;Chemicals;Petrochemicals
ELET;ELETROBRAS;Utilities;Electric Utilities;Electric Utilities
ELPL;ELETROPAULO;Utilities;Electric Utilities;Electric Utilities
EMAE;EMAE;Utilities;Electric Utilities;Electric Utilities
EMBR;EMBRAER;Capital Goods and Services;Transportation Equipment and Components;Aerospace and Defense
EMCC;EMC;Information Technology;Software and Services;Software and Services
ENBR;ENERGIAS BR;Utilities;Electric Utilities;Electric Utilities
ENER;ENERSUL;Utilities;Electric Utilities;Electric Utilities
ENEV;ENEVA;Utilities;Electric Utilities;Electric Utilities
ENGI;ENERGISA;Utilities;Electric Utilities;Electric Utilities
ENMA;CEMAR;Utilities;Electric Utilities;Electric Utilities
EQTL;EQUATORIAL;Utilities;Electric Utilities;Electric Utilities
ERDV;ECON;Capital Goods and Services;Transportation;Toll Roads and Highways
ESCE;ESCELSA;Utilities;Electric Utilities;Electric Utilities
ESRX;EXPRESCRIPTS;Health;Retail and Distribution;Pharmaceutical and Others Products
ESTC;ESTACIO PART;Consumer Cyclical;Diversified;Educational Services
ESTR;ESTRELA;Consumer Cyclical;Travel, Entertainment and Leisure;Toys and Games
ESUD;FIP IE II;Financial;Financial Management and Mutual Funds;Mutual Funds
ESUT;FIP IE III;Financial;Financial Management and Mutual Funds;Mutual Funds
ESUU;FIP IE I;Financial;Financial Management and Mutual Funds;Mutual Funds
ETER;ETERNIT;Capital Goods and Services;Construction and Engineering;Building Products   
ETRO;ELETRON;Financial;Others;Others
EUCA;EUCATEX;Basic Materials;Wood and Paper;Wood
EURO;FII EUROPAR;Financial;Financial Management and Mutual Funds;Real Estate Funds
EVEN;EVEN;Consumer Cyclical;Heavy Construction;Homebuilding 
EXXO;EXXON MOBIL;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
EZTC;EZTEC;Consumer Cyclical;Heavy Construction;Homebuilding 
FAED;FII ANH EDUC;Financial;Financial Management and Mutual Funds;Real Estate Funds
FAMB;FII ALMIRANT;Financial;Financial Management and Mutual Funds;Real Estate Funds
FBMC;FIBAM;Basic Materials;Steel and Metalurgy;Iron and Steel Products
FBOK;FACEBOOK;Information Technology;Software and Services;Software and Services
FCAS;FII CASTELO;Financial;Financial Management and Mutual Funds;Real Estate Funds
FCCQ;FIP CONQUEST;Financial;Financial Management and Mutual Funds;Mutual Funds
FCFL;FII CAMPUSFL;Financial;Financial Management and Mutual Funds;Real Estate Funds
FCXO;FREEPORT;Basic Materials;Mining;Metalic Minerals
FDCS;BRPR 45 SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
FDES;FUNDES;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FDMO;FORD MOTORS;Consumer Cyclical;Automobiles and Motorcycles;Automobiles and Motorcycles
FDXB;FEDEX CORP;Capital Goods and Services;Transportation;Trucking
FESA;FERBASA;Basic Materials;Steel and Metalurgy;Steel
FEXC;FII EXCELLEN;Financial;Financial Management and Mutual Funds;Real Estate Funds
FFCI;FII RIOB RC;Financial;Financial Management and Mutual Funds;Real Estate Funds
FHER;FER HERINGER;Basic Materials;Chemicals;Fertilizers
FIBR;FIBRIA;Basic Materials;Wood and Paper;Pulp and Paper
FIGE;INVEST BEMGE;Financial;Others;Others
FIGS;FII GEN SHOP;Financial;Financial Management and Mutual Funds;Real Estate Funds
FIIB;FII INDL BR;Financial;Financial Management and Mutual Funds;Real Estate Funds
FIIP;FII RB CAP I;Financial;Financial Management and Mutual Funds;Real Estate Funds
FIND;IT NOW IFNC;Financial;Financial Management and Mutual Funds;Mutual Funds
FINF;FII INFRA RE;Financial;Financial Management and Mutual Funds;Real Estate Funds
FISD;FII DOMINGOS;Financial;Financial Management and Mutual Funds;Real Estate Funds
FIVN;FII VIDANOVA;Financial;Financial Management and Mutual Funds;Real Estate Funds
FIXX;FII FATORFIX;Financial;Financial Management and Mutual Funds;Real Estate Funds
FJTA;FORJA TAURUS;Capital Goods and Services;Machines and Equipments;Weapons and Munitions
FLMA;FII S F LIMA;Financial;Financial Management and Mutual Funds;Real Estate Funds
FLRP;FII FLORIPA;Financial;Financial Management and Mutual Funds;Real Estate Funds
FLRY;FLEURY;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
FMOF;FII MEMORIAL;Financial;Financial Management and Mutual Funds;Real Estate Funds
FMXB;FEMSA;Consumer Non Cyclical;Beverage;Beer and Soft Drinks
FNAM;FINAM;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FNCN;FINANSINOS;Financial;Financial Intermediaries;Savings and Loans
FNOR;FINOR;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FOFT;FII CSHGFOFT;Financial;Financial Management and Mutual Funds;Real Estate Funds
FOMS;FORNODEMINAS;Consumer Non Cyclical;Food Processors;Other Food Manufacturing
FPAB;FII A BRANCA;Financial;Financial Management and Mutual Funds;Real Estate Funds
FPNG;FII P NEGRA;Financial;Financial Management and Mutual Funds;Real Estate Funds
FPOR;FIP PORT SUD;Financial;Financial Management and Mutual Funds;Mutual Funds
FRAS;FRAS-LE;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
FRIO;METALFRIO;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
FRRN;ALL NORTE;Capital Goods and Services;Transportation;Railroads
FRTA;POMIFRUTAS;Consumer Non Cyclical;Farming;Agriculture
FSLR;FIRST SOLAR;Capital Goods and Services;Electric Equipment;Electric Equipment
FSPE;FISET PESCA;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FSRF;FISET FL REF;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FSTU;FISET TUR;Financial;Financial Management and Mutual Funds;Sector Incentive Funds
FTCE;FII OPPORTUN;Financial;Financial Management and Mutual Funds;Real Estate Funds
FTRT;FUTURETEL;Financial;Others;Others
FVBI;FII VBI 4440;Financial;Financial Management and Mutual Funds;Real Estate Funds
FVPQ;FII V PARQUE;Financial;Financial Management and Mutual Funds;Real Estate Funds
GAFL;GAIA AGRO;Financial;Asset-backed Securitization;Asset-backed Securitization
GAIA;GAIA SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
GASC;ALL PAULISTA;Capital Goods and Services;Transportation;Railroads
GBIO;BIOTOSCANA;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
GDBR;GEN DYNAMICS;Capital Goods and Services;Transportation Equipment and Components;Aerospace and Defense
GEOO;GE;Financial;Holdings - Diversified;Holdings - Diversified
GEPA;GER PARANAP;Utilities;Electric Utilities;Electric Utilities
GFSA;GAFISA;Consumer Cyclical;Heavy Construction;Homebuilding 
GGBR;GERDAU;Basic Materials;Steel and Metalurgy;Steel
GGRC;FII GGRCOVEP;Financial;Financial Management and Mutual Funds;Real Estate Funds
GILD;GILEAD;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
GMCO;GENERAL MOT;Consumer Cyclical;Automobiles and Motorcycles;Automobiles and Motorcycles
GOAU;GERDAU MET;Basic Materials;Steel and Metalurgy;Steel
GOGL;ALPHABET;Information Technology;Software and Services;Software and Services
GOLL;GOL;Capital Goods and Services;Transportation;Airlines
GOVE;IT NOW IGCT;Financial;Financial Management and Mutual Funds;Mutual Funds
GPAR;CELGPAR;Utilities;Electric Utilities;Electric Utilities
GPCP;GPC PART;Basic Materials;Chemicals;Petrochemicals
GPIV;GP INVEST;Financial;Diversified Financial Services;Asset Management and Investments
GPRO;GOPRO;Consumer Cyclical;Household Products;Household Appliance
GPSI;GAP;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
GRLV;FII LOUVEIRA;Financial;Financial Management and Mutual Funds;Real Estate Funds
GRND;GRENDENE;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
GRUC;GRUCAI;Financial;Others;Others
GSGI;GOLDMANSACHS;Financial;Financial Intermediaries;Banks
GSHP;GENERALSHOPP;Financial;Real Estate;Real Estate
GUAR;GUARARAPES;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
GWIR;FII GWI RI;Financial;Financial Management and Mutual Funds;Real Estate Funds
HAGA;HAGA S/A;Capital Goods and Services;Construction and Engineering;Building Products   
HALI;HALLIBURTON;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Equipment and Services
HBOR;HELBOR;Consumer Cyclical;Heavy Construction;Homebuilding 
HBTS;HABITASUL;Financial;Holdings - Diversified;Holdings - Diversified
HCBR;BR HOME;Consumer Cyclical;Retail;Diversified Retailers
HCRI;FII CRIANCA;Financial;Financial Management and Mutual Funds;Real Estate Funds
HETA;HERCULES;Consumer Cyclical;Household Products;Houseware Utensils
HGBS;FII CSHGSHOP;Financial;Financial Management and Mutual Funds;Real Estate Funds
HGCR;FII CSHG CRI;Financial;Financial Management and Mutual Funds;Real Estate Funds
HGJH;FII CSHGJHSF;Financial;Financial Management and Mutual Funds;Real Estate Funds
HGLG;FII CSHG LOG;Financial;Financial Management and Mutual Funds;Real Estate Funds
HGRE;FII HG REAL;Financial;Financial Management and Mutual Funds;Real Estate Funds
