trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2880,False,"{'a': 0.999, 'e': 0.5001786732515634}",20,4,-11.684023164294981,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
2881,False,"{'a': 0.999, 'e': 0.5001772837483107}",20,2,-16.28356912549043,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
2882,False,"{'a': 0.999, 'e': 0.5001759011714004}",20,10,-47.433324590450646,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
2883,False,"{'a': 0.999, 'e': 0.5001745254863252}",25,4,-44.782463634208895,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
2884,False,"{'a': 0.999, 'e': 0.5001731566587502}",20,0,13.018828669210087,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2885,False,"{'a': 0.999, 'e': 0.5001717946545103}",25,12,-3.5028198119790206,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
2886,False,"{'a': 0.999, 'e': 0.5001704394396113}",30,0,-53.72925828435218,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
2887,False,"{'a': 0.999, 'e': 0.5001690909802277}",25,0,-7.514014707114365,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
2888,False,"{'a': 0.999, 'e': 0.5001677492427026}",20,1,-6.634568747630173,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
2889,False,"{'a': 0.999, 'e': 0.5001664141935465}",30,7,-20.221793299795927,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
2890,False,"{'a': 0.999, 'e': 0.5001650857994366}",25,7,-1.8133685623241371,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
2891,False,"{'a': 0.999, 'e': 0.5001637640272159}",20,0,-53.32614102999601,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2892,False,"{'a': 0.999, 'e': 0.5001624488438924}",25,9,-33.93166224848783,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
2893,False,"{'a': 0.999, 'e': 0.5001611402166384}",20,9,-9.685760330407007,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
2894,False,"{'a': 0.999, 'e': 0.5001598381127894}",25,0,-6.379221394990151,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
2895,False,"{'a': 0.999, 'e': 0.5001585424998439}",25,16,8.724506819404947,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2896,False,"{'a': 0.999, 'e': 0.5001572533454617}",20,0,-10.471445405802562,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2897,False,"{'a': 0.999, 'e': 0.5001559706174636}",25,0,-47.396087680765945,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
2898,False,"{'a': 0.999, 'e': 0.5001546942838311}",25,8,-32.14497027118022,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
2899,False,"{'a': 0.999, 'e': 0.5001534243127042}",20,0,-11.090684232795804,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
2900,False,"{'a': 0.999, 'e': 0.5001521606723822}",20,0,-54.97223185679278,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
2901,False,"{'a': 0.999, 'e': 0.5001509033313221}",20,0,-116.74682233909584,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
2902,False,"{'a': 0.999, 'e': 0.5001496522581372}",30,13,-14.83059657780664,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
2903,False,"{'a': 0.999, 'e': 0.5001484074215982}",30,13,-126.25172125749619,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
2904,False,"{'a': 0.999, 'e': 0.5001471687906303}",30,16,0.6462525957201861,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2905,False,"{'a': 0.999, 'e': 0.5001459363343136}",25,11,-7.573733123245597,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
2906,False,"{'a': 0.999, 'e': 0.5001447100218823}",30,8,-28.923153079592172,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
2907,False,"{'a': 0.999, 'e': 0.5001434898227238}",25,14,-17.889229649974524,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
2908,False,"{'a': 0.999, 'e': 0.5001422757063776}",25,10,-25.953544272893254,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
2909,False,"{'a': 0.999, 'e': 0.500141067642535}",20,2,-49.90664109177319,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
2910,False,"{'a': 0.999, 'e': 0.500139865601038}",20,0,1.9158959936622462,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
2911,False,"{'a': 0.999, 'e': 0.500138669551879}",30,0,-25.279619841071693,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",1
2912,False,"{'a': 0.999, 'e': 0.5001374794651995}",20,13,7.021171831150617,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2913,False,"{'a': 0.999, 'e': 0.5001362953112899}",20,12,6.481151295176183,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2914,False,"{'a': 0.999, 'e': 0.5001351170605882}",20,11,5.674796418469346,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2915,False,"{'a': 0.999, 'e': 0.50013394468368}",20,0,-29.133927047829705,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
2916,False,"{'a': 0.999, 'e': 0.5001327781512968}",20,0,-83.9235131501583,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2917,False,"{'a': 0.999, 'e': 0.5001316174343161}",20,5,-30.600084036633856,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
2918,False,"{'a': 0.999, 'e': 0.5001304625037604}",25,15,5.345645847204486,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2919,False,"{'a': 0.999, 'e': 0.5001293133307965}",20,0,-36.944912254673824,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
2920,False,"{'a': 0.999, 'e': 0.5001281698867344}",25,0,-66.77258622684592,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
2921,False,"{'a': 0.999, 'e': 0.5001270321430272}",30,6,-4.343813839737401,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
2922,False,"{'a': 0.999, 'e': 0.5001259000712703}",20,0,-127.42714805765591,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2923,False,"{'a': 0.999, 'e': 0.5001247736432002}",20,0,-35.57038719106402,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2924,False,"{'a': 0.999, 'e': 0.500123652830694}",25,0,-139.13395152020138,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
2925,False,"{'a': 0.999, 'e': 0.5001225376057693}",25,10,19.52675843558641,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2926,False,"{'a': 0.999, 'e': 0.5001214279405826}",30,8,-100.54682517596869,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
2927,False,"{'a': 0.999, 'e': 0.5001203238074292}",30,17,-31.773930609280157,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
2928,False,"{'a': 0.999, 'e': 0.5001192251787423}",30,12,-61.687340320651685,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
2929,False,"{'a': 0.999, 'e': 0.5001181320270923}",30,15,4.722130503355347,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
2930,False,"{'a': 0.999, 'e': 0.5001170443251863}",30,0,-43.49994074905013,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
2931,False,"{'a': 0.999, 'e': 0.5001159620458671}",30,22,-10.94774037553918,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
2932,False,"{'a': 0.999, 'e': 0.5001148851621127}",35,2,-69.70569320613683,"{0: 27, 1: 2, 2: 2, 3: 0, 4: 2}",1
2933,False,"{'a': 0.999, 'e': 0.500113813647036}",20,0,-79.2776022088569,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
