PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
CGAS5,COMGAS,PN,Utilities,Gas Utilities,Gas Utilities
CGRA4,GRAZZIOTIN,PN,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
CIEL3,CIELO,ON,Financial,Diversified Financial Services,Diversified Financial Services
CLSC4,CELESC,PN,Utilities,Electric Utilities,Electric Utilities
CMIG3,CEMIG,ON,Utilities,Electric Utilities,Electric Utilities
CMIG4,CEMIG,PN,Utilities,Electric Utilities,Electric Utilities
COCE5,COELCE,PN,Utilities,Electric Utilities,Electric Utilities
CPFE3,CPFL ENERGIA,ON,Utilities,Electric Utilities,Electric Utilities
CPLE3,COPEL,ON,Utilities,Electric Utilities,Electric Utilities
CPLE6,COPEL,PN,Utilities,Electric Utilities,Electric Utilities
CPRE3,CPFL RENOVAV,ON,Utilities,Electric Utilities,Electric Utilities
CRDE3,CR2,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
CREM3,CREMER,ON,Health,Pharmaceutical and Others Products,Pharmaceutical and Others Products
CRFB3,CARREFOUR BR,ON,Consumer Non Cyclical,Retail and Distribution,Food Retailers
CRIV3,ALFA FINANC,ON,Financial,Financial Intermediaries,Savings and Loans
CRIV4,ALFA FINANC,PN,Financial,Financial Intermediaries,Savings and Loans
CRPG5,CRISTAL,PN,Basic Materials,Chemicals,Chemicals - Others
CRPG6,CRISTAL,PN,Basic Materials,Chemicals,Chemicals - Others
CSAN3,COSAN,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
CSMG3,COPASA,ON,Utilities,Water Utilities,Water Utilities
CSNA3,SID NACIONAL,ON,Basic Materials,Steel and Metalurgy,Steel
CTAX3,CONTAX,ON,Capital Goods and Services,Diversified Services,Diversified Services
CTKA3,KARSTEN,ON,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
CTKA4,KARSTEN,PN,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
CTNM4,COTEMINAS,PN,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
CTSA3,SANTANENSE,ON,Consumer Cyclical,"Textiles, Apparel and Footwear","Fabric, Thread and Fibers"
CVCB3,CVC BRASIL,ON,Consumer Cyclical,"Travel, Entertainment and Leisure",Travel and Tourism
CYRE3,CYRELA REALT,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
DASA3,DASA,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
DIRR3,DIRECIONAL,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
DMMO3,DOMMO,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
DTCY3,DTCOM-DIRECT,ON,Capital Goods and Services,Diversified Services,Diversified Services
DTEX3,DURATEX,ON,Basic Materials,Wood and Paper,Wood
EALT4,ACO ALTONA,PN,Capital Goods and Services,Machines and Equipments,Agricultural and Construction Machinery
ECOR3,ECORODOVIAS,ON,Capital Goods and Services,Transportation,Toll Roads and Highways
EGIE3,ENGIE BRASIL,ON,Utilities,Electric Utilities,Electric Utilities
EKTR3,ELEKTRO,ON,Utilities,Electric Utilities,Electric Utilities
EKTR4,ELEKTRO,PN,Utilities,Electric Utilities,Electric Utilities
ELEK3,ELEKEIROZ,ON,Basic Materials,Chemicals,Petrochemicals
