TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
1,2017-11-24,2,BEEF3,10,MINERVA,ON,,R$,11.57,11.58,11.33,11.39,11.35,11.35,11.38,1908,458800,5227173.0,0.0,0,9999-12-31,1,0.0,BRBEEFACNOR6,107
1,2017-11-24,2,BEES3,10,BANESTES,ON,,R$,3.67,3.69,3.65,3.65,3.68,3.67,3.69,11,10800,39451.0,0.0,0,9999-12-31,1,0.0,BRBEESACNOR9,302
1,2017-11-24,2,BEES4,10,BANESTES,PN,,R$,3.73,3.73,3.73,3.73,3.73,3.64,3.74,1,200,746.0,0.0,0,9999-12-31,1,0.0,BRBEESACNPR6,227
1,2017-11-24,2,BGIP4,10,BANESE,PN,,R$,33.79,33.85,33.78,33.79,33.85,33.7,34.0,7,9700,327839.0,0.0,0,9999-12-31,1,0.0,BRBGIPACNPR8,193
1,2017-11-24,2,BIOM3,10,BIOMM,ON,,R$,10.83,10.83,10.8,10.82,10.8,10.01,10.8,3,2300,24900.0,0.0,0,9999-12-31,1,0.0,BRBIOMACNOR2,105
1,2017-11-24,2,BMEB3,10,MERC BRASIL,ON,,R$,5.3,5.35,5.25,5.32,5.34,5.2,5.35,10,13800,73546.0,0.0,0,9999-12-31,1,0.0,BRBMEBACNOR8,194
1,2017-11-24,2,BMEB4,10,MERC BRASIL,PN,,R$,4.79,4.79,4.7,4.76,4.7,4.7,4.77,9,29500,140660.0,0.0,0,9999-12-31,1,0.0,BRBMEBACNPR5,198
1,2017-11-24,2,BMIN3,10,MERC INVEST,ON,,R$,74.99,74.99,74.99,74.99,74.99,25.0,75.0,1,1600,119984.0,0.0,0,9999-12-31,1,0.0,BRBMINACNOR4,166
1,2017-11-24,2,BOBR4,10,BOMBRIL,PN,,R$,5.0,5.11,4.92,4.97,5.08,4.97,5.08,45,93900,467573.0,0.0,0,9999-12-31,1,0.0,BRBOBRACNPR3,128
1,2017-11-24,2,BPAN4,10,BANCO PAN,PN,,R$,1.91,1.91,1.86,1.87,1.88,1.86,1.88,43,198300,370929.0,0.0,0,9999-12-31,1,0.0,BRBPANACNPR1,105
